location,lat,lon
"Quận Ba Đình, Thành phố Hà Nội",21.0158551700001,105.801469498
"Quận Hoàn Kiếm, Thành phố Hà Nội",21.017912589,105.841908374
"Quận Tây Hồ, Thành phố Hà Nội",21.039003816,105.793107642
"Quận Long Biên, Thành phố Hà Nội",20.9944872560001,105.836237361
"Quận Cầu Giấy, Thành phố Hà Nội",21.00095602,105.768365039
"Quận Đống Đa, Thành phố Hà Nội",20.9973581690001,105.797905656
"Quận Hai Bà Trưng, Thành phố Hà Nội",20.9911136370001,105.842414377
"Quận Hoàng Mai, Thành phố Hà Nội",20.9463508060001,105.806579285
"Quận Thanh Xuân, Thành phố Hà Nội",20.980555731,105.791069196
"Huyện Sóc Sơn, Thành phố Hà Nội",21.176969865,105.723011257
"Huyện Đông Anh, Thành phố Hà Nội",21.0663662630001,105.731828316
"Huyện Gia Lâm, Thành phố Hà Nội",20.926487541,105.880722911
"Quận Nam Từ Liêm, Thành phố Hà Nội",20.980158083,105.726960239
"Huyện Thanh Trì, Thành phố Hà Nội",20.8973357410001,105.788315719
"Quận Bắc Từ Liêm, Thành phố Hà Nội",21.038045073,105.716845833
"Huyện Mê Linh, Thành phố Hà Nội",21.1202383350001,105.616161222
"Quận Hà Đông, Thành phố Hà Nội",20.9108046310001,105.706586429
"Thị xã Sơn Tây, Thành phố Hà Nội",21.0204000480001,105.414898997
"Huyện Ba Vì, Thành phố Hà Nội",21.0076590510001,105.28500419
"Huyện Phúc Thọ, Thành phố Hà Nội",21.04394395,105.500782888
"Huyện Đan Phượng, Thành phố Hà Nội",21.0654587560001,105.623191975
"Huyện Hoài Đức, Thành phố Hà Nội",20.955073903,105.645603706
"Huyện Quốc Oai, Thành phố Hà Nội",20.9082729300001,105.483756576
"Huyện Thạch Thất, Thành phố Hà Nội",20.946764413,105.39206637
"Huyện Chương Mỹ, Thành phố Hà Nội",20.792496194,105.550780155
"Huyện Thanh Oai, Thành phố Hà Nội",20.780584817,105.722902003
"Huyện Thường Tín, Thành phố Hà Nội",20.7519317860001,105.812684724
"Huyện Phú Xuyên, Thành phố Hà Nội",20.6505368580001,105.791897213
"Huyện Ứng Hòa, Thành phố Hà Nội",20.611912918,105.696830614
"Huyện Mỹ Đức, Thành phố Hà Nội",20.5642508770001,105.648249477
"Thành phố Hà Giang, Tỉnh Hà Giang",22.754110096,104.862154267
"Huyện Đồng Văn, Tỉnh Hà Giang",23.0930393460001,105.121024367
"Huyện Mèo Vạc, Tỉnh Hà Giang",22.9895406740001,105.298937334
"Huyện Yên Minh, Tỉnh Hà Giang",22.8750795020001,104.956823808
"Huyện Quản Bạ, Tỉnh Hà Giang",22.9426465920001,104.801362227
"Huyện Vị Xuyên, Tỉnh Hà Giang",22.48412441,104.724412518
"Huyện Bắc Mê, Tỉnh Hà Giang",22.60367862,105.050418522
"Huyện Hoàng Su Phì, Tỉnh Hà Giang",22.5345614,104.524402853
"Huyện Xín Mần, Tỉnh Hà Giang",22.463277164,104.334192828
"Huyện Bắc Quang, Tỉnh Hà Giang",22.1661925440001,104.722700331
"Huyện Quang Bình, Tỉnh Hà Giang",22.19762108,104.446090353
"Thành phố Cao Bằng, Tỉnh Cao Bằng",22.571064957,106.172952305
"Huyện Bảo Lâm, Tỉnh Cao Bằng",22.633465132,105.270511383
"Huyện Bảo Lạc, Tỉnh Cao Bằng",22.6664261990001,105.543358364
"Huyện Hà Quảng, Tỉnh Cao Bằng",22.7915669430001,105.954076613
"Huyện Trùng Khánh, Tỉnh Cao Bằng",22.7040160870001,106.397674511
"Huyện Hạ Lang, Tỉnh Cao Bằng",22.575782439,106.55196018
"Huyện Quảng Hòa, Tỉnh Cao Bằng",22.5494751310001,106.344836363
"Huyện Hoà An, Tỉnh Cao Bằng",22.5144178250001,106.012849946
"Huyện Nguyên Bình, Tỉnh Cao Bằng",22.4956385090001,105.727381144
"Huyện Thạch An, Tỉnh Cao Bằng",22.3569975460001,106.094113734
"Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",22.054946483,105.775158645
"Huyện Pác Nặm, Tỉnh Bắc Kạn",22.4791259410001,105.529350008
"Huyện Ba Bể, Tỉnh Bắc Kạn",22.2706034940001,105.548864921
"Huyện Ngân Sơn, Tỉnh Bắc Kạn",22.284561459,105.850891816
"Huyện Bạch Thông, Tỉnh Bắc Kạn",22.0865352050001,105.651600225
"Huyện Chợ Đồn, Tỉnh Bắc Kạn",21.9555910230001,105.431530613
"Huyện Chợ Mới, Tỉnh Bắc Kạn",21.8044205790001,105.692819609
"Huyện Na Rì, Tỉnh Bắc Kạn",21.9380083290001,105.927583571
"Thành phố Tuyên Quang, Tỉnh Tuyên Quang",21.7004831250001,105.174641982
"Huyện Lâm Bình, Tỉnh Tuyên Quang",22.3180007770001,105.072641651
"Huyện Na Hang, Tỉnh Tuyên Quang",22.2559743310001,105.258583673
"Huyện Chiêm Hóa, Tỉnh Tuyên Quang",21.9413755510001,104.99490628
"Huyện Hàm Yên, Tỉnh Tuyên Quang",21.8397958640001,104.848861693
"Huyện Yên Sơn, Tỉnh Tuyên Quang",21.658750883,105.056649031
"Huyện Sơn Dương, Tỉnh Tuyên Quang",21.497128006,105.224973932
"Thành phố Lào Cai, Tỉnh Lào Cai",22.310771516,103.896698785
"Huyện Bát Xát, Tỉnh Lào Cai",22.396049217,103.527395007
"Huyện Mường Khương, Tỉnh Lào Cai",22.526282517,104.005347047
"Huyện Si Ma Cai, Tỉnh Lào Cai",22.5852033210001,104.172778807
"Huyện Bắc Hà, Tỉnh Lào Cai",22.3242256460001,104.165760201
"Huyện Bảo Thắng, Tỉnh Lào Cai",22.198588038,104.002280094
"Huyện Bảo Yên, Tỉnh Lào Cai",22.0871143140001,104.208627717
"Thị xã Sa Pa, Tỉnh Lào Cai",22.1373131070001,103.728788356
"Huyện Văn Bàn, Tỉnh Lào Cai",21.876484039,103.938281091
"Thành phố Điện Biên Phủ, Tỉnh Điện Biên",21.3654171160001,102.993072901
"Thị Xã Mường Lay, Tỉnh Điện Biên",21.958500848,103.046335027
"Huyện Mường Nhé, Tỉnh Điện Biên",21.9762006390001,102.144028483
"Huyện Mường Chà, Tỉnh Điện Biên",21.5878743690001,102.972597765
"Huyện Tủa Chùa, Tỉnh Điện Biên",21.784564964,103.250423115
"Huyện Tuần Giáo, Tỉnh Điện Biên",21.426340317,103.139405557
"Huyện Điện Biên, Tỉnh Điện Biên",20.892719297,102.807631642
"Huyện Điện Biên Đông, Tỉnh Điện Biên",21.0286788510001,103.067527405
"Huyện Mường Ảng, Tỉnh Điện Biên",21.402405631,103.104668095
"Huyện Nậm Pồ, Tỉnh Điện Biên",21.6541484700001,102.501166884
"Thành phố Lai Châu, Tỉnh Lai Châu",22.342063733,103.354620468
"Huyện Tam Đường, Tỉnh Lai Châu",22.168228734,103.415962207
"Huyện Mường Tè, Tỉnh Lai Châu",22.1677444630001,102.320986282
"Huyện Sìn Hồ, Tỉnh Lai Châu",22.4159308160001,103.120708648
"Huyện Phong Thổ, Tỉnh Lai Châu",21.9701150330001,103.071030336
"Huyện Than Uyên, Tỉnh Lai Châu",21.685561106,103.669211512
"Huyện Tân Uyên, Tỉnh Lai Châu",21.948091774,103.532640586
"Huyện Nậm Nhùn, Tỉnh Lai Châu",22.0268544260001,102.73686783
"Thành phố Sơn La, Tỉnh Sơn La",21.2451548060001,103.803972843
"Huyện Quỳnh Nhai, Tỉnh Sơn La",21.524066793,103.480079295
"Huyện Thuận Châu, Tỉnh Sơn La",21.2018340330001,103.330000313
"Huyện Mường La, Tỉnh Sơn La",21.3094661870001,103.754730455
"Huyện Bắc Yên, Tỉnh Sơn La",21.006402698,104.168190631
"Huyện Phù Yên, Tỉnh Sơn La",21.0259467930001,104.486016186
"Huyện Mộc Châu, Tỉnh Sơn La",20.6721165810001,104.417426491
"Huyện Yên Châu, Tỉnh Sơn La",20.7989907580001,104.114827559
"Huyện Mai Sơn, Tỉnh Sơn La",20.9589975280001,103.696687707
"Huyện Sông Mã, Tỉnh Sơn La",20.846634577,103.397267328
"Huyện Sốp Cộp, Tỉnh Sơn La",20.6613896640001,103.212374227
"Huyện Vân Hồ, Tỉnh Sơn La",20.57357935,104.635642169
"Thành phố Yên Bái, Tỉnh Yên Bái",21.6515723370001,104.820782338
"Thị xã Nghĩa Lộ, Tỉnh Yên Bái",21.5648896160001,104.45194112
"Huyện Lục Yên, Tỉnh Yên Bái",21.9308479650001,104.562331982
"Huyện Văn Yên, Tỉnh Yên Bái",21.6615633230001,104.339928761
"Huyện Mù Căng Chải, Tỉnh Yên Bái",21.6420572760001,103.886407839
"Huyện Trấn Yên, Tỉnh Yên Bái",21.530977986,104.649378751
"Huyện Trạm Tấu, Tỉnh Yên Bái",21.3514491060001,104.277286525
"Huyện Văn Chấn, Tỉnh Yên Bái",21.3256638180001,104.267643792
"Huyện Yên Bình, Tỉnh Yên Bái",21.646638555,104.745556813
"Thành phố Hòa Bình, Tỉnh Hoà Bình",20.743414681,105.263345716
"Huyện Đà Bắc, Tỉnh Hoà Bình",20.7516180980001,104.852637262
"Huyện Lương Sơn, Tỉnh Hoà Bình",20.613587793,105.429910446
"Huyện Kim Bôi, Tỉnh Hoà Bình",20.521782574,105.370224639
"Huyện Cao Phong, Tỉnh Hoà Bình",20.592492065,105.177524299
"Huyện Tân Lạc, Tỉnh Hoà Bình",20.451507486,105.111409016
"Huyện Mai Châu, Tỉnh Hoà Bình",20.5574652080001,104.835278997
"Huyện Lạc Sơn, Tỉnh Hoà Bình",20.359831823,105.258559685
"Huyện Yên Thủy, Tỉnh Hoà Bình",20.3053927550001,105.540585707
"Huyện Lạc Thủy, Tỉnh Hoà Bình",20.366376341,105.614047045
"Thành phố Thái Nguyên, Tỉnh Thái Nguyên",21.5062785010001,105.700291721
"Thành phố Sông Công, Tỉnh Thái Nguyên",21.439051954,105.752539467
"Huyện Định Hóa, Tỉnh Thái Nguyên",21.7455633920001,105.493474116
"Huyện Phú Lương, Tỉnh Thái Nguyên",21.6140618430001,105.62508245
"Huyện Đồng Hỷ, Tỉnh Thái Nguyên",21.52031429,105.786383136
"Huyện Võ Nhai, Tỉnh Thái Nguyên",21.604243152,105.848281051
"Huyện Đại Từ, Tỉnh Thái Nguyên",21.430112099,105.477545578
"Thị xã Phổ Yên, Tỉnh Thái Nguyên",21.3255286350001,105.666700901
"Huyện Phú Bình, Tỉnh Thái Nguyên",21.3942335410001,105.876023271
"Thành phố Lạng Sơn, Tỉnh Lạng Sơn",21.781697142,106.697924949
"Huyện Tràng Định, Tỉnh Lạng Sơn",22.1428775420001,106.184883179
"Huyện Bình Gia, Tỉnh Lạng Sơn",21.866112737,106.09595978
"Huyện Văn Lãng, Tỉnh Lạng Sơn",21.8809754800001,106.434683927
"Huyện Cao Lộc, Tỉnh Lạng Sơn",21.736992393,106.624664787
"Huyện Văn Quan, Tỉnh Lạng Sơn",21.6861489020001,106.38912665
"Huyện Bắc Sơn, Tỉnh Lạng Sơn",21.666598234,106.094903299
"Huyện Hữu Lũng, Tỉnh Lạng Sơn",21.393731889,106.166861033
"Huyện Chi Lăng, Tỉnh Lạng Sơn",21.5357686360001,106.420123346
"Huyện Lộc Bình, Tỉnh Lạng Sơn",21.489450128,106.752394762
"Huyện Đình Lập, Tỉnh Lạng Sơn",21.32519968,106.888673343
"Thành phố Hạ Long, Tỉnh Quảng Ninh",20.739512749,106.886630073
"Thành phố Móng Cái, Tỉnh Quảng Ninh",21.339473635,107.732724023
