city,district,lat,lon
Thành phố Hà Nội,Quận Ba Đình,105.801469498,21.0158551700001
Thành phố Hà Nội,Quận Hoàn Kiếm,105.841908374,21.017912589
Thành phố Hà Nội,Quận Tây Hồ,105.793107642,21.039003816
Thành phố Hà Nội,Quận Long Biên,105.836237361,20.9944872560001
Thành phố Hà Nội,Quận Cầu Giấy,105.768365039,21.00095602
Thành phố Hà Nội,Quận Đống Đa,105.797905656,20.9973581690001
Thành phố Hà Nội,Quận Hai Bà Trưng,105.842414377,20.9911136370001
Thành phố Hà Nội,Quận Hoàng Mai,105.806579285,20.9463508060001
Thành phố Hà Nội,Quận Thanh Xuân,105.791069196,20.980555731
Thành phố Hà Nội,Huyện Sóc Sơn,105.723011257,21.176969865
Thành phố Hà Nội,Huyện Đông Anh,105.731828316,21.0663662630001
Thành phố Hà Nội,Huyện Gia Lâm,105.880722911,20.926487541
Thành phố Hà Nội,Quận Nam Từ Liêm,105.726960239,20.980158083
Thành phố Hà Nội,Huyện Thanh Trì,105.788315719,20.8973357410001
Thành phố Hà Nội,Quận Bắc Từ Liêm,105.716845833,21.038045073
Thành phố Hà Nội,Huyện Mê Linh,105.616161222,21.1202383350001
Thành phố Hà Nội,Quận Hà Đông,105.706586429,20.9108046310001
Thành phố Hà Nội,Thị xã Sơn Tây,105.414898997,21.0204000480001
Thành phố Hà Nội,Huyện Ba Vì,105.28500419,21.0076590510001
Thành phố Hà Nội,Huyện Phúc Thọ,105.500782888,21.04394395
Thành phố Hà Nội,Huyện Đan Phượng,105.623191975,21.0654587560001
Thành phố Hà Nội,Huyện Hoài Đức,105.645603706,20.955073903
Thành phố Hà Nội,Huyện Quốc Oai,105.483756576,20.9082729300001
Thành phố Hà Nội,Huyện Thạch Thất,105.39206637,20.946764413
Thành phố Hà Nội,Huyện Chương Mỹ,105.550780155,20.792496194
Thành phố Hà Nội,Huyện Thanh Oai,105.722902003,20.780584817
Thành phố Hà Nội,Huyện Thường Tín,105.812684724,20.7519317860001
Thành phố Hà Nội,Huyện Phú Xuyên,105.791897213,20.6505368580001
Thành phố Hà Nội,Huyện Ứng Hòa,105.696830614,20.611912918
Thành phố Hà Nội,Huyện Mỹ Đức,105.648249477,20.5642508770001
Tỉnh Hà Giang,Thành phố Hà Giang,104.862154267,22.754110096
Tỉnh Hà Giang,Huyện Đồng Văn,105.121024367,23.0930393460001
Tỉnh Hà Giang,Huyện Mèo Vạc,105.298937334,22.9895406740001
Tỉnh Hà Giang,Huyện Yên Minh,104.956823808,22.8750795020001
Tỉnh Hà Giang,Huyện Quản Bạ,104.801362227,22.9426465920001
Tỉnh Hà Giang,Huyện Vị Xuyên,104.724412518,22.48412441
Tỉnh Hà Giang,Huyện Bắc Mê,105.050418522,22.60367862
Tỉnh Hà Giang,Huyện Hoàng Su Phì,104.524402853,22.5345614
Tỉnh Hà Giang,Huyện Xín Mần,104.334192828,22.463277164
Tỉnh Hà Giang,Huyện Bắc Quang,104.722700331,22.1661925440001
Tỉnh Hà Giang,Huyện Quang Bình,104.446090353,22.19762108
Tỉnh Cao Bằng,Thành phố Cao Bằng,106.172952305,22.571064957
Tỉnh Cao Bằng,Huyện Bảo Lâm,105.270511383,22.633465132
Tỉnh Cao Bằng,Huyện Bảo Lạc,105.543358364,22.6664261990001
Tỉnh Cao Bằng,Huyện Hà Quảng,105.954076613,22.7915669430001
Tỉnh Cao Bằng,Huyện Trùng Khánh,106.397674511,22.7040160870001
Tỉnh Cao Bằng,Huyện Hạ Lang,106.55196018,22.575782439
Tỉnh Cao Bằng,Huyện Quảng Hòa,106.344836363,22.5494751310001
Tỉnh Cao Bằng,Huyện Hoà An,106.012849946,22.5144178250001
Tỉnh Cao Bằng,Huyện Nguyên Bình,105.727381144,22.4956385090001
Tỉnh Cao Bằng,Huyện Thạch An,106.094113734,22.3569975460001
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,105.775158645,22.054946483
Tỉnh Bắc Kạn,Huyện Pác Nặm,105.529350008,22.4791259410001
Tỉnh Bắc Kạn,Huyện Ba Bể,105.548864921,22.2706034940001
Tỉnh Bắc Kạn,Huyện Ngân Sơn,105.850891816,22.284561459
Tỉnh Bắc Kạn,Huyện Bạch Thông,105.651600225,22.0865352050001
Tỉnh Bắc Kạn,Huyện Chợ Đồn,105.431530613,21.9555910230001
Tỉnh Bắc Kạn,Huyện Chợ Mới,105.692819609,21.8044205790001
Tỉnh Bắc Kạn,Huyện Na Rì,105.927583571,21.9380083290001
Tỉnh Tuyên Quang,Thành phố Tuyên Quang,105.174641982,21.7004831250001
Tỉnh Tuyên Quang,Huyện Lâm Bình,105.072641651,22.3180007770001
Tỉnh Tuyên Quang,Huyện Na Hang,105.258583673,22.2559743310001
Tỉnh Tuyên Quang,Huyện Chiêm Hóa,104.99490628,21.9413755510001
Tỉnh Tuyên Quang,Huyện Hàm Yên,104.848861693,21.8397958640001
Tỉnh Tuyên Quang,Huyện Yên Sơn,105.056649031,21.658750883
Tỉnh Tuyên Quang,Huyện Sơn Dương,105.224973932,21.497128006
Tỉnh Lào Cai,Thành phố Lào Cai,103.896698785,22.310771516
Tỉnh Lào Cai,Huyện Bát Xát,103.527395007,22.396049217
Tỉnh Lào Cai,Huyện Mường Khương,104.005347047,22.526282517
Tỉnh Lào Cai,Huyện Si Ma Cai,104.172778807,22.5852033210001
Tỉnh Lào Cai,Huyện Bắc Hà,104.165760201,22.3242256460001
Tỉnh Lào Cai,Huyện Bảo Thắng,104.002280094,22.198588038
Tỉnh Lào Cai,Huyện Bảo Yên,104.208627717,22.0871143140001
Tỉnh Lào Cai,Thị xã Sa Pa,103.728788356,22.1373131070001
Tỉnh Lào Cai,Huyện Văn Bàn,103.938281091,21.876484039
Tỉnh Điện Biên,Thành phố Điện Biên Phủ,102.993072901,21.3654171160001
Tỉnh Điện Biên,Thị Xã Mường Lay,103.046335027,21.958500848
Tỉnh Điện Biên,Huyện Mường Nhé,102.144028483,21.9762006390001
Tỉnh Điện Biên,Huyện Mường Chà,102.972597765,21.5878743690001
Tỉnh Điện Biên,Huyện Tủa Chùa,103.250423115,21.784564964
Tỉnh Điện Biên,Huyện Tuần Giáo,103.139405557,21.426340317
Tỉnh Điện Biên,Huyện Điện Biên,102.807631642,20.892719297
Tỉnh Điện Biên,Huyện Điện Biên Đông,103.067527405,21.0286788510001
Tỉnh Điện Biên,Huyện Mường Ảng,103.104668095,21.402405631
Tỉnh Điện Biên,Huyện Nậm Pồ,102.501166884,21.6541484700001
Tỉnh Lai Châu,Thành phố Lai Châu,103.354620468,22.342063733
Tỉnh Lai Châu,Huyện Tam Đường,103.415962207,22.168228734
Tỉnh Lai Châu,Huyện Mường Tè,102.320986282,22.1677444630001
Tỉnh Lai Châu,Huyện Sìn Hồ,103.120708648,22.4159308160001
Tỉnh Lai Châu,Huyện Phong Thổ,103.071030336,21.9701150330001
Tỉnh Lai Châu,Huyện Than Uyên,103.669211512,21.685561106
Tỉnh Lai Châu,Huyện Tân Uyên,103.532640586,21.948091774
Tỉnh Lai Châu,Huyện Nậm Nhùn,102.73686783,22.0268544260001
Tỉnh Sơn La,Thành phố Sơn La,103.803972843,21.2451548060001
Tỉnh Sơn La,Huyện Quỳnh Nhai,103.480079295,21.524066793
Tỉnh Sơn La,Huyện Thuận Châu,103.330000313,21.2018340330001
Tỉnh Sơn La,Huyện Mường La,103.754730455,21.3094661870001
Tỉnh Sơn La,Huyện Bắc Yên,104.168190631,21.006402698
Tỉnh Sơn La,Huyện Phù Yên,104.486016186,21.0259467930001
Tỉnh Sơn La,Huyện Mộc Châu,104.417426491,20.6721165810001
Tỉnh Sơn La,Huyện Yên Châu,104.114827559,20.7989907580001
Tỉnh Sơn La,Huyện Mai Sơn,103.696687707,20.9589975280001
Tỉnh Sơn La,Huyện Sông Mã,103.397267328,20.846634577
Tỉnh Sơn La,Huyện Sốp Cộp,103.212374227,20.6613896640001
Tỉnh Sơn La,Huyện Vân Hồ,104.635642169,20.57357935
Tỉnh Yên Bái,Thành phố Yên Bái,104.820782338,21.6515723370001
Tỉnh Yên Bái,Thị xã Nghĩa Lộ,104.45194112,21.5648896160001
Tỉnh Yên Bái,Huyện Lục Yên,104.562331982,21.9308479650001
Tỉnh Yên Bái,Huyện Văn Yên,104.339928761,21.6615633230001
Tỉnh Yên Bái,Huyện Mù Căng Chải,103.886407839,21.6420572760001
Tỉnh Yên Bái,Huyện Trấn Yên,104.649378751,21.530977986
Tỉnh Yên Bái,Huyện Trạm Tấu,104.277286525,21.3514491060001
Tỉnh Yên Bái,Huyện Văn Chấn,104.267643792,21.3256638180001
Tỉnh Yên Bái,Huyện Yên Bình,104.745556813,21.646638555
Tỉnh Hoà Bình,Thành phố Hòa Bình,105.263345716,20.743414681
Tỉnh Hoà Bình,Huyện Đà Bắc,104.852637262,20.7516180980001
Tỉnh Hoà Bình,Huyện Lương Sơn,105.429910446,20.613587793
Tỉnh Hoà Bình,Huyện Kim Bôi,105.370224639,20.521782574
Tỉnh Hoà Bình,Huyện Cao Phong,105.177524299,20.592492065
Tỉnh Hoà Bình,Huyện Tân Lạc,105.111409016,20.451507486
Tỉnh Hoà Bình,Huyện Mai Châu,104.835278997,20.5574652080001
Tỉnh Hoà Bình,Huyện Lạc Sơn,105.258559685,20.359831823
Tỉnh Hoà Bình,Huyện Yên Thủy,105.540585707,20.3053927550001
Tỉnh Hoà Bình,Huyện Lạc Thủy,105.614047045,20.366376341
Tỉnh Thái Nguyên,Thành phố Thái Nguyên,105.700291721,21.5062785010001
Tỉnh Thái Nguyên,Thành phố Sông Công,105.752539467,21.439051954
Tỉnh Thái Nguyên,Huyện Định Hóa,105.493474116,21.7455633920001
Tỉnh Thái Nguyên,Huyện Phú Lương,105.62508245,21.6140618430001
Tỉnh Thái Nguyên,Huyện Đồng Hỷ,105.786383136,21.52031429
Tỉnh Thái Nguyên,Huyện Võ Nhai,105.848281051,21.604243152
Tỉnh Thái Nguyên,Huyện Đại Từ,105.477545578,21.430112099
Tỉnh Thái Nguyên,Thị xã Phổ Yên,105.666700901,21.3255286350001
Tỉnh Thái Nguyên,Huyện Phú Bình,105.876023271,21.3942335410001
Tỉnh Lạng Sơn,Thành phố Lạng Sơn,106.697924949,21.781697142
